user_id,place_id,rating
161,1202,3.2
96,1570,3.3
71,1191,3.0
19,1429,3.0
34,1209,3.8
206,1129,4.6
50,1292,4.2
175,1009,4.3
46,1146,4.0
184,1173,4.6
185,1517,4.8
83,1410,4.7
51,1154,4.6
54,1427,3.4
90,1484,4.2
81,1606,4.2
118,1458,4.1
156,1601,4.0
19,1609,3.2
27,1545,3.2
176,1282,4.8
244,1302,4.3
249,1254,3.5
147,1406,3.6
225,1106,4.2
179,1467,3.8
7,1198,3.9
157,1482,3.1
247,1648,3.3
171,1572,3.8
69,1193,4.4
94,1457,3.1
113,1607,3.7
107,1632,4.4
120,1206,4.6
186,1463,3.4
136,1466,4.5
170,1451,4.9
204,1249,4.8
42,1510,4.6
13,1418,4.4
154,1581,3.5
18,1045,4.3
42,1051,4.3
51,1244,3.8
244,1670,4.0
113,1277,4.4
212,1017,4.9
144,1089,3.6
101,1215,3.5
3,1532,4.2
219,1080,3.3
79,1419,4.2
250,1311,3.2
98,1323,4.0
173,1114,4.2
150,1605,3.1
232,1100,3.4
23,1027,3.7
59,1420,3.7
190,1431,4.4
113,1229,4.1
68,1200,3.8
243,1287,3.9
54,1107,3.0
57,1480,4.5
233,1521,3.1
151,1551,4.7
111,1546,4.1
60,1092,4.1
73,1490,4.4
216,1690,4.7
213,1584,4.9
233,1123,4.1
238,1326,3.3
55,1192,4.8
117,1366,3.1
208,1585,4.6
63,1287,4.4
184,1500,4.8
55,1136,4.8
25,1195,3.1
26,1639,4.2
177,1681,3.2
63,1691,3.2
173,1252,3.9
73,1346,3.2
79,1218,4.5
167,1685,4.9
225,1018,4.1
65,1073,3.5
69,1165,4.7
184,1241,4.7
9,1085,4.5
236,1500,4.2
198,1633,4.7
156,1529,3.3
173,1640,4.9
26,1273,4.9
28,1591,4.7
40,1076,3.5
143,1472,4.7
134,1110,4.0
27,1045,4.2
38,1068,4.7
196,1207,3.1
203,1220,3.7
85,1278,4.6
64,1429,4.6
30,1639,4.7
210,1308,3.3
99,1384,4.4
131,1348,3.3
190,1435,4.6
